ids,annotatorId,texts,counterSpeechs,counterSpeechTypes,textTypes
1388749452542808066,ARK4WBXJISCNB,"बहुत खुसी हुई बंगाल रिजल्ट से, अब शायद उत्तर प्रदेश पर ध्यान दे, 5 साल से लोगो को बेरोजगारी और गुंडागर्दी के सिवा मिला क्या।।
बाकी वही रंडी रोना शुरू होगा
देश की जनता आपको deserve नही करती, 
हिन्दू गद्दार है।।
अब बेचते है पर कोई खरीदता नही है।।",हमारी सरकार हमें एक बेहतर और विकासशील राष्ट्र प्रदान करने के लिए लगातार प्रयास कर रही है। हमें लगातार मेहनत करने वाले सैकड़ों लोगों के काम को बदनाम नहीं करना चाहिए। आशा है आप इस पर विचार करेंगे।,"['Empathy', 'Shaming']",Hate
1351816619740127233,A1K5CHKFJJ7IF8,<user> आप रंडी हो हिंदू धर्म के बारे में मत बोला करो,इस प्रकार के लेबल देना उचित नहीं है।,['Shaming'],Hate
502,A1HFJSETMNC7BF,তোরে পাইলে আমি তোর বোদার বিতের ধাইনা মরিছ দিতাম খানকি মাগি,"দেশে আইন-কানুন আছে, আর আপনার এইরকম মন্তব্য চলতে থাকলে শীঘ্রই জেলে জেতে পারেন।",['Warning-of-Consequences'],Offensive
1334192904097599489,A1DVIFCAZGUR0N,"@Vineetbhargava9 ये रंडी की ओलाद है, इनको देश से कोई लेना देना नही, ये तो हिन्दू विरोधी है, हराम के जने, इनको तो उल्टा कर के बांस चढ़ाना चाहिए, एमडीआर के हिन्दुओ क्या तुम्हारी माँ ...","अपने गुस्से को नियंत्रण में रखो मेरे भाई, हिन्दू होकर मैं तुम्हारी भावनाओं को समझ सकता हूँ लेकिन ऐसे किसी पब्लिक प्लेटफार्म पे ये सब करना ठीक नहीं है, इससे सिर्फ और दिक्कतें पैदा होती हैं।","['Empathy', 'Warning-of-Consequences']",Normal
1262971151694925824,A1HFJSETMNC7BF,@zahidbd_786 @HSajwanization @alikeskin_tr বোকাচোদা নাকি তুই কাংলু?,"আপনি কাউকে অশ্লীল ভাষায় সম্বোধন করলে, সেও আবার একই জিনিস করবে। এই ভাবে ঝামেলা বাড়তেই থাকবে। তাই আমাদের সকলের সাথে সুশীল ভাষায় কথা বলা উচিত।","['Empathy', 'Warning-of-Consequences']",Hate
2781,ARK4WBXJISCNB,@Republic_Bharat यह साले जिहादी मानसिकता वालों की जांच तो बढ़िया ढंग से होनी चाहिए यह भी साला जावेद अख्तर और सलीम का भाई है यह साला नेपोटिज्म के खिलाफ नहीं बोलता है,क्या आपको लगता है कि इस तरह की आपत्तिजनक भाषा का इस्तेमाल चर्चा में कुछ रचनात्मक जोड़ता है? इससे केवल स्थिति खराब होगी।,['Shaming'],Hate
1311333084457967618,A3D81Z9GMEKTJQ,"<user> तुम एकदम रंडी हो किया बलात्कारी,बल्तकारी हिन्दू,मुस्लिम,या दलित देख के बलात्कार करता है",बलात्कारियों के प्रति आपका क्रोध जायज हैं परन्तु आप अपन मत अपशब्दों का प्रयोग न करते हुए भी रख सकते हैं ।,['Affliation'],Offensive
651,A1DVIFCAZGUR0N,अबे... दुसरो की कमियां बहुत गिनवा लिए...तुम दोगले लोगो के नाक के नीचे 300 हरामी मुसलमान मन्दिर तोड़ दिए और तुम सब इन मुल्लो का विश्वास जीतने में लगे हो।।। ,"मंदिर मस्जिद जैसे नाज़ुक मामलों को ऐसे सार्वजनिक प्लेटफार्म पे चर्चा करने से सिर्फ घृणा और आक्रोश पैदा होता है, आपसे अनुरोध है की ऐसी बातें यहाँ पे ना करें।",['Warning-of-Consequences'],Normal
50,A1HFJSETMNC7BF,ধর্ষনলীগ খানকি মাগি বেশ্যা মাগী পোলা এরা 😡 😡,কাউকে এই রকম অকথ্য ভাষায় গালিগালাজ করা ঠিক নয় বন্ধু।,['Empathy'],Offensive
730,A1HFJSETMNC7BF,"এটা একটি সমাজে থাকা পতিতা,  কারণ পতিতা প্রকাশ্যে পতিতাগিরি করে আর এরা সমাজের ভিতরে থেকে করে।  তাহলে  কেউ গোপনে আর কেউ প্রকাশ্যে।  পার্থক্য এখানেই☝","সমাজের ভিতরে থেকে কে কি করছে না ভেবে, নিজে একটু চেষ্টা করুন ভদ্র আচরণ করার, তানাহলে অজান্তেই বিপদে পরতে পারেন।",['Warning-of-Consequences'],Offensive
