ids,annotatorId,texts,counterSpeechs,counterSpeechTypes,textTypes,hatespeech_trans,counterspeech_trans,hatespeech_transBack,counterspeech_transBack
202,A1HFJSETMNC7BF,তোমার দেখতে ছেলেদের মতো। যদি তোমার দেখতে মেয়েদের মতো হতো। তাহলে তুমি অবশ্যই বেশ্যা হতে। 😂,মানুষ কে সম্মান করতে শিখুন। তবেই নিজে সম্মানিত হবেন।,['Warning-of-Consequences'],Offensive,आप लड़कों की तरह दिखते हैं। अगर आप देखने के लिए लड़कियों की तरह थे। तब आपको एक वेश्या होना चाहिए। 😂,लोगों का सम्मान करना सीखें। तभी आपको सम्मानित किया जाएगा।,আপনি ছেলেদের মত চেহারা। আপনি যদি মেয়েদের দেখতে চান। তাহলে আপনার বেশ্যা হওয়া উচিত।,মানুষকে সম্মান করতে শিখুন। তবেই আপনি সম্মানিত হবেন।
202,A1HFJSETMNC7BF,তোমার দেখতে ছেলেদের মতো। যদি তোমার দেখতে মেয়েদের মতো হতো। তাহলে তুমি অবশ্যই বেশ্যা হতে। 😂,অশ্লীল ভাষায় কাউকে অপমান করা তাদের অপমান নয়। এমন অশ্লীল কথা বলতে থাকলে আপনি সম্মান হারাবেন।,['Warning-of-Consequences'],Offensive,आप लड़कों की तरह दिखते हैं। अगर आप देखने के लिए लड़कियों की तरह थे। तब आपको एक वेश्या होना चाहिए। 😂,अश्लील भाषा में किसी का अपमान करना उनका अपमान नहीं है। यदि आप कहते हैं कि ऐसे अश्लील शब्द हैं तो आप सम्मान खो देंगे।,আপনি ছেলেদের মত চেহারা। আপনি যদি মেয়েদের দেখতে চান। তাহলে আপনার বেশ্যা হওয়া উচিত।,অশ্লীল ভাষায় কাউকে অপমান করা অপমান নয়। আপনি যদি বলেন যে আপনি শ্রদ্ধা হারাবেন।
203,A1HFJSETMNC7BF,@taslimanasreen  তোর মেয়েরে আর তোরে এক বিছানায় ফালাইয়া চুদি...খানকি মাগি,মহিলাদের সম্মান করতে শিখুন। তবেই নিজে সম্মানিত হবেন।,['Empathy'],Offensive,@taslimanasreen अपनी बेटी और आपके पास एक बिस्तर में एक बिस्तर है ... खंकी मैगी,महिलाओं का सम्मान करना सीखें। तभी आपको सम्मानित किया जाएगा।,@টাস্লিমনাসরিনের একটি বিছানা আছে আপনার মেয়েকে এবং আপনার বিছানায় একটি বিছানা রয়েছে ... খঙ্কি ম্যাগি,মহিলাদের সম্মান করতে শিখুন। তবেই আপনি সম্মানিত হবেন।
203,A1HFJSETMNC7BF,@taslimanasreen  তোর মেয়েরে আর তোরে এক বিছানায় ফালাইয়া চুদি...খানকি মাগি,"অন্যকে  গালাগালি দিয়ে অপমানজনক কথা বলার মধ্যে কোনো বীরত্ব নেই, বরং সম্মান দিয়ে কথা বললে আপনারও সম্মান বাড়বে।",['Empathy'],Offensive,@taslimanasreen अपनी बेटी और आपके पास एक बिस्तर में एक बिस्तर है ... खंकी मैगी,"दूसरों को अपमानजनक शब्द कहने में कोई वीरता नहीं है, लेकिन सम्मान के साथ बात करने से आपका सम्मान बढ़ेगा।",@টাস্লিমনাসরিনের একটি বিছানা আছে আপনার মেয়েকে এবং আপনার বিছানায় একটি বিছানা রয়েছে ... খঙ্কি ম্যাগি,"অন্যকে ভয়াবহ কথা বলার মতো সাহস নেই, তবে শ্রদ্ধার সাথে কথা বলা আপনার শ্রদ্ধা বাড়িয়ে তুলবে।"
204,A1HFJSETMNC7BF,"   @taslimanasreen  বেশ্যা, পতিতারা এমনই হয়।",অভব্য ভাষা ব্যবহার বন্ধ করুন। মহিলাদের সম্মান করতে শিখুন।,['Shaming'],Offensive,"   @taslimanasreen slut, वेश्याएं ऐसी ही हैं।",अनजाने भाषा का उपयोग करना बंद करें। महिलाओं का सम्मान करना सीखें।,"   @টাস্লিমনাসরিন বেশ্যা, পতিতা একই রকম।",অজানা ভাষা ব্যবহার বন্ধ করুন। মহিলাদের সম্মান করতে শিখুন।
204,A1HFJSETMNC7BF,"   @taslimanasreen  বেশ্যা, পতিতারা এমনই হয়।",আপনি কি করে জানলেন? আপনার জাতায়াত আছে বুঝি?,['Humour'],Offensive,"   @taslimanasreen slut, वेश्याएं ऐसी ही हैं।",आप कैसे जानते हो? क्या आप समझते हैं कि आपके पास जाति है?,"   @টাস্লিমনাসরিন বেশ্যা, পতিতা একই রকম।",তুমি কিভাবে জান? আপনি কি বুঝতে পারছেন যে আপনার একটি বর্ণ আছে?
206,A9J41F0FTR2R7,"তাসলিমা আমার বাড়ির কুত্তা তোক চুইদা তোর ভোদা ফাটাইবো খানকি,,,তোর কালা পুটকি চুইদা ধলা বানাইবো,, কুত্তার চোদা খাইয়া ভালোই মজা পাবি",আপনার মুখের ভাষা খুবই জঘন্য। কোনো ব্যক্তিকে অভব্য ভাষায় উত্ত্যক্ত করা বন্ধ করুন।,['Shaming'],Hate,"तासलीमा मेरा कुत्ता चुइदा टोर वोडा फातिबो खांकी ,,, आपका काला पुटकी चुइदा धला, मुझे कुत्ते को खाने से अच्छा मज़ा आएगा।",आपके मुंह की भाषा बहुत चौंकाने वाली है। एक अनोखी भाषा में किसी व्यक्ति को परेशान करना बंद करें।,"তাসলিমা আমার কুকুর চুইডা টর ভোদা ফাতিবো খানকি ,,, আপনার কালো পুটকি চুইদা ধালা, আমি কুকুরটিকে ভালভাবে খেতে উপভোগ করব।",আপনার মুখের ভাষা খুব মর্মান্তিক। অনন্য ভাষায় কোনও ব্যক্তিকে হয়রানি করা বন্ধ করুন।
206,A9J41F0FTR2R7,"তাসলিমা আমার বাড়ির কুত্তা তোক চুইদা তোর ভোদা ফাটাইবো খানকি,,,তোর কালা পুটকি চুইদা ধলা বানাইবো,, কুত্তার চোদা খাইয়া ভালোই মজা পাবি","লেখক তাসলিমার জন্য আপনার এই মন্তব্য বুঝিয়ে দিছে যে আপনি ওনার  কর্মে খুশি নন কারণ আপনি নিজে কোনো মহিলাকে সন্মান ,যথাযথ অধিকার দিতে জানেন না কিন্তু উনি সফল এই কর্মে তাই আপনার ক্ষোভ শুধু কিছু কু-শব্দের দ্বারা প্রকাশ পাছে।আপনি যদি ওনার মত একটু হলেও শিক্ষিত হতেন তাহলে আপনি এই ধরণের মন্তব্য কখনই করতে পারতেন না।",['Shaming'],Hate,"तासलीमा मेरा कुत्ता चुइदा टोर वोडा फातिबो खांकी ,,, आपका काला पुटकी चुइदा धला, मुझे कुत्ते को खाने से अच्छा मज़ा आएगा।","लेखक तासलीमा के लिए आपकी टिप्पणी बताता है कि आप उसके कार्यों से खुश नहीं हैं क्योंकि आप किसी महिला को खुद का सम्मान करना नहीं जानते हैं, लेकिन वह इस सफल कार्रवाई में सफल है, इसलिए आपका गुस्सा कुछ दुष्कर्मों द्वारा व्यक्त किया जाता है। यदि आप थोड़े शिक्षित हैं। उसकी तरह। यदि आपके पास था, तो आप कभी ऐसी टिप्पणी नहीं कर सकते।","তাসলিমা আমার কুকুর চুইডা টর ভোদা ফাতিবো খানকি ,,, আপনার কালো পুটকি চুইদা ধালা, আমি কুকুরটিকে ভালভাবে খেতে উপভোগ করব।","লেখক তাসলিমার জন্য আপনার মন্তব্যটি দেখিয়েছেন যে আপনি তার ক্রিয়াকলাপে সন্তুষ্ট নন কারণ আপনি নিজে কোনও মহিলাকে সম্মান করতে জানেন না, তবে তিনি এই সফল ক্রিয়ায় সফল, তাই আপনার ক্রোধ কিছু অপকর্ম দ্বারা প্রকাশ করা হয়েছে। আপনি যদি একটু শিক্ষিত হন। তার মত. যদি আপনার কাছে থাকে তবে আপনি কখনই এই জাতীয় মন্তব্য করতে পারবেন না।"
207,A1HFJSETMNC7BF,শালী বাবাচুদি খানকি একটা,আপনি গালিগালির প্রদর্শন করছেন বলে মনে হয়। চারটে শব্দ। তার মধ্যে তিনটি গালাগালি।,['Shaming'],Offensive,शाली बाबाचुड़ी खंकी एक है,आप दुरुपयोग प्रदर्शित कर रहे हैं। चार शब्द। उनमें से तीन अपमानजनक हैं।,শালি বাবচুরি খাকি একজন,আপনি অপব্যবহার প্রদর্শন করছেন। চার শব্দ। তাদের মধ্যে তিনটি অবমাননাকর।
207,A1HFJSETMNC7BF,শালী বাবাচুদি খানকি একটা,আপনি যদি নারীদের ঘৃণা করতে থাকেন তাহলে সমাজ আপনাকে অবহেলা করতে শুরু করবে।,['Warning-of-Consequences'],Offensive,शाली बाबाचुड़ी खंकी एक है,"यदि आप महिलाओं से नफरत करते हैं, तो समाज आपकी उपेक्षा करना शुरू कर देगा।",শালি বাবচুরি খাকি একজন,আপনি যদি মহিলাদের ঘৃণা করেন তবে সমাজ আপনাকে উপেক্ষা করা শুরু করবে।
