prefix,input_text,target_text
counterspeech,"#कांग्रेस_को_सत्ता_में_आने_के_लिए_बस_इन_चीज़ो_का_ही_सहारा_है  बलात्कार,धरना,हिंसा,पाकिस्तान,चीन,झूठ,धोखा,हिंदू,मुस्लिम,नक्सलवाद आतंकवाद,वामपंथी,जनता व किसानों को भड़काना   राहुल गाँधी को चीन,पाकिस्तान से प्रियंका गाँधी को बलात्कार से सोनिया उर्फ़ इटालियन रंडी को अर्थवयवस्था से आस",हम सबको को पता है की लोग सत्ता में आने के लिए वादे करते है तथा दूसरी पार्टी की कमिया गिनवाते है। यह प्रक्रिया शुरू से ही चलती आ रही है तो जनता को जागरूक होकर सही नेता चुनना चाहिए। ताकि लोगो के दोगलेपन से बचा जा सके।
counterspeech,"#कांग्रेस_को_सत्ता_में_आने_के_लिए_बस_इन_चीज़ो_का_ही_सहारा_है  बलात्कार,धरना,हिंसा,पाकिस्तान,चीन,झूठ,धोखा,हिंदू,मुस्लिम,नक्सलवाद आतंकवाद,वामपंथी,जनता व किसानों को भड़काना   राहुल गाँधी को चीन,पाकिस्तान से प्रियंका गाँधी को बलात्कार से सोनिया उर्फ़ इटालियन रंडी को अर्थवयवस्था से आस","बलात्कार,धरना,हिंसा,पाकिस्तान,चीन,झूठ,धोखा,हिंदू,मुस्लिम,नक्सलवाद आतंकवाद,वामपंथी,जनता व किसानों को भड़काना अनुचित गतिविधिया है इनको इतना इस्तेमाल कर के जनता में तनाव बढ़ेगा।"
counterspeech,"#कांग्रेस_को_सत्ता_में_आने_के_लिए_बस_इन_चीज़ो_का_ही_सहारा_है  बलात्कार,धरना,हिंसा,पाकिस्तान,चीन,झूठ,धोखा,हिंदू,मुस्लिम,नक्सलवाद आतंकवाद,वामपंथी,जनता व किसानों को भड़काना   राहुल गाँधी को चीन,पाकिस्तान से प्रियंका गाँधी को बलात्कार से सोनिया उर्फ़ इटालियन रंडी को अर्थवयवस्था से आस",आपने बहुत सारे दावे किए हैं।  क्या आप सबूत दे सकते हैं।  नहीं तो आप भी भीड़ को भड़काने की कोशिश कर रहे हैं।
counterspeech,"#कांग्रेस_को_सत्ता_में_आने_के_लिए_बस_इन_चीज़ो_का_ही_सहारा_है  बलात्कार,धरना,हिंसा,पाकिस्तान,चीन,झूठ,धोखा,हिंदू,मुस्लिम,नक्सलवाद आतंकवाद,वामपंथी,जनता व किसानों को भड़काना   राहुल गाँधी को चीन,पाकिस्तान से प्रियंका गाँधी को बलात्कार से सोनिया उर्फ़ इटालियन रंडी को अर्थवयवस्था से आस",किसी व्यक्ति या राजनीतिक दल के खिलाफ अभद्र भाषा और नाम बदनाम करना बहुत गलत है।
counterspeech,"<user> रंडी के बच्चे हैं ऐमज़ॉन वाले, हिंदू इसका बहिष्कार करेंगे",आप बिना सबूत के आरोप लगा रहे हैं। कृपया किसी भी परेशानी को भड़काने से पहले शांत हो जाएं।
counterspeech,"<user> रंडी के बच्चे हैं ऐमज़ॉन वाले, हिंदू इसका बहिष्कार करेंगे",आप एक कंपनी के लिए नफरत से भरे हुए हैं। जब अच्छे सौदे हों तो लोग खरीदना क्यों बंद कर दें। समझाने की परवाह?
counterspeech,"<user> रंडी के बच्चे हैं ऐमज़ॉन वाले, हिंदू इसका बहिष्कार करेंगे",आप अपने शब्द सुधार लीजिये वरना सबसे पहले आपका बहिष्कार हो जायेगा।
counterspeech,"<user> रंडी के बच्चे हैं ऐमज़ॉन वाले, हिंदू इसका बहिष्कार करेंगे",अनुचित बात बोल के विवाद को बुलावा दे रहे है।
counterspeech,<user> <user> #सपोर्ट_कंगना #बॉयकॉट_बॉलीवुड_इंडस्ट्री  #Terrorism_In_Madarsa #इस्लामिक_आतंकवाद #कांग्रेस_हटाओ_देश_बचाओ #मेरे_मन्दिर_मुझे_वापस_दो #बुर्का_बन_करो #boycot_big_boss #जागो_हिन्दू_जागो #बेटियो_को_दुर्गा_बनाओ_नचनिया_रंडी_नहीं #हिंदू_हिंदुस्तान #जिहाद_और_जिहादी_का_बहिष्कार #सपोर्ट_लोकल,आपके ट्वीट पवित्र मदरसों के प्रति अत्यधिक आपत्तिजनक हैं। मैं आपसे विनम्र निवेदन करता हूं कि इस तरह के ट्वीट पोस्ट करने से बचें।
counterspeech,<user> <user> #सपोर्ट_कंगना #बॉयकॉट_बॉलीवुड_इंडस्ट्री  #Terrorism_In_Madarsa #इस्लामिक_आतंकवाद #कांग्रेस_हटाओ_देश_बचाओ #मेरे_मन्दिर_मुझे_वापस_दो #बुर्का_बन_करो #boycot_big_boss #जागो_हिन्दू_जागो #बेटियो_को_दुर्गा_बनाओ_नचनिया_रंडी_नहीं #हिंदू_हिंदुस्तान #जिहाद_और_जिहादी_का_बहिष्कार #सपोर्ट_लोकल,धार्मिक संस्थाओं का सम्मान किया जाना चाहिए और आपके ट्वीट मुस्लिम समुदाय के प्रति अत्यधिक अपमानजनक और आपत्तिजनक हैं। मेरा सुझाव है कि आप शांत हो जाएं और इस तरह के कृत्यों में भाग लेने से बचें।
counterspeech,<user> <user> #सपोर्ट_कंगना #बॉयकॉट_बॉलीवुड_इंडस्ट्री  #Terrorism_In_Madarsa #इस्लामिक_आतंकवाद #कांग्रेस_हटाओ_देश_बचाओ #मेरे_मन्दिर_मुझे_वापस_दो #बुर्का_बन_करो #boycot_big_boss #जागो_हिन्दू_जागो #बेटियो_को_दुर्गा_बनाओ_नचनिया_रंडी_नहीं #हिंदू_हिंदुस्तान #जिहाद_और_जिहादी_का_बहिष्कार #सपोर्ट_लोकल,हम एक विविध समाज में रहते हैं जहां विभिन्न मान्यताओं के लोग हैं। आपके हैशटैग धर्मों के बीच नफरत फैलाएंगे।
counterspeech,<user> <user> #सपोर्ट_कंगना #बॉयकॉट_बॉलीवुड_इंडस्ट्री  #Terrorism_In_Madarsa #इस्लामिक_आतंकवाद #कांग्रेस_हटाओ_देश_बचाओ #मेरे_मन्दिर_मुझे_वापस_दो #बुर्का_बन_करो #boycot_big_boss #जागो_हिन्दू_जागो #बेटियो_को_दुर्गा_बनाओ_नचनिया_रंडी_नहीं #हिंदू_हिंदुस्तान #जिहाद_और_जिहादी_का_बहिष्कार #सपोर्ट_लोकल,बिना सबूत के हैशटैग बनाना दिखाता है कि किसी समुदाय का अपमान करने के लिए आप कितने सतही और बेताब हैं।
counterspeech,<user> कोई भी हिंदु महिला जब मुस्लिम. या ईसाई मत वाले से शादी करलेती थी तो #हिन्दु_समाज उसे रंडी ही कहता था और वहां महिला की इज्जत है मगर वह #पैरो_की_जूती की जितनी हॊती है तो प्रतिकार नही किया जाता था?,किस भी स्त्री के लिए ऐसे अपशब्दों का इस्तेमाल करना सही नहीं है ।
