prefix,input_text,target_text
counterspeech,#Congress_co_satta_ in_a_l।,"আমরা সকলেই জানি যে লোকেরা ক্ষমতায় আসার এবং অন্য পক্ষের ত্রুটিগুলি গণনা করার প্রতিশ্রুতি দেয়। যদি এই প্রক্রিয়াটি প্রথম থেকেই চলছে, তবে জনসাধারণকে সচেতন হওয়া উচিত এবং সঠিক নেতা বেছে নেওয়া উচিত। যাতে মানুষ এড়ানো যায়।"
counterspeech,#Congress_co_satta_ in_a_l।,"ধর্ষণ, পিকেটিং, সহিংসতা, পাকিস্তান, চীন, মিথ্যা, প্রতারণা, হিন্দু, মুসলিম, নকশালবাদ সন্ত্রাসবাদ, বামপন্থী, মানুষ এবং কৃষকরা অন্যায় কার্যক্রম, এগুলি ব্যবহার করে জনসাধারণের মধ্যে উত্তেজনা বাড়িয়ে তুলবে।"
counterspeech,#Congress_co_satta_ in_a_l।,আপনি অনেক দাবি করেছেন। আপনি প্রমাণ দিতে পারেন অন্যথায় আপনি ভিড়কে উস্কে দেওয়ার চেষ্টা করছেন।
counterspeech,#Congress_co_satta_ in_a_l।,কোনও ব্যক্তি বা রাজনৈতিক দলের বিরুদ্ধে অশ্লীল ভাষা এবং নামকে অসম্মান করা খুব ভুল।
counterspeech,"<user> রেন্ডির বাচ্চারা অ্যামাজন, হিন্দুরা এটি বয়কট করবে",আপনি প্রমাণ ছাড়াই অভিযোগ করছেন। কোনও সমস্যা উস্কে দেওয়ার আগে দয়া করে শান্ত হন।
counterspeech,"<user> রেন্ডির বাচ্চারা অ্যামাজন, হিন্দুরা এটি বয়কট করবে","আপনি একটি সংস্থার জন্য ঘৃণা পূর্ণ। যখন ভাল চুক্তি হয়, লোকেরা কেন কেনা বন্ধ করবে? ব্যাখ্যা করার যত্ন?"
counterspeech,"<user> রেন্ডির বাচ্চারা অ্যামাজন, হিন্দুরা এটি বয়কট করবে",আপনি আপনার শব্দের উন্নতি করুন অন্যথায় আপনি প্রথমে বয়কট করা হবে।
counterspeech,"<user> রেন্ডির বাচ্চারা অ্যামাজন, হিন্দুরা এটি বয়কট করবে",অনুপযুক্ত জিনিসগুলি কথা বলার বিতর্ককে ডেকে আনছে।
counterspeech,<user> <user> #सपोर्ट_कंगना #बॉयकॉट_बॉलीवुड_इंडस्ट्री  #Terrorism_In_Madarsa #इस्लामिक_आतंकवाद #कांग्रेस_हटाओ_देश_बचाओ #मेरे_मन्दिर_मुझे_वापस_दो #बुर्का_बन_करो #boycot_big_boss #जागो_हिन्दू_जागो #बेटियो_को_दुर्गा_बनाओ_नचनिया_रंडी_नहीं #हिंदू_हिंदुस्तान #जिहाद_और_जिहादी_का_बहिष्कार #सपोर्ट_लोकल,আপনার টুইটগুলি পবিত্র মাদ্রাসাতে অত্যন্ত আপত্তিজনক। আমি বিনীতভাবে আপনাকে এই জাতীয় টুইটগুলি পোস্ট করা এড়াতে অনুরোধ করছি।
counterspeech,<user> <user> #सपोर्ट_कंगना #बॉयकॉट_बॉलीवुड_इंडस्ट्री  #Terrorism_In_Madarsa #इस्लामिक_आतंकवाद #कांग्रेस_हटाओ_देश_बचाओ #मेरे_मन्दिर_मुझे_वापस_दो #बुर्का_बन_करो #boycot_big_boss #जागो_हिन्दू_जागो #बेटियो_को_दुर्गा_बनाओ_नचनिया_रंडी_नहीं #हिंदू_हिंदुस्तान #जिहाद_और_जिहादी_का_बहिष्कार #सपोर्ट_लोकल,ধর্মীয় প্রতিষ্ঠানগুলিকে সম্মান করা উচিত এবং আপনার টুইটগুলি মুসলিম সম্প্রদায়ের কাছে অত্যন্ত অবমাননাকর এবং আপত্তিজনক। আমি আপনাকে পরামর্শ দিচ্ছি যে আপনি শান্ত হন এবং এই জাতীয় ক্রিয়াকলাপে অংশ নেওয়া এড়াতে পারেন।
counterspeech,<user> <user> #सपोर्ट_कंगना #बॉयकॉट_बॉलीवुड_इंडस्ट्री  #Terrorism_In_Madarsa #इस्लामिक_आतंकवाद #कांग्रेस_हटाओ_देश_बचाओ #मेरे_मन्दिर_मुझे_वापस_दो #बुर्का_बन_करो #boycot_big_boss #जागो_हिन्दू_जागो #बेटियो_को_दुर्गा_बनाओ_नचनिया_रंडी_नहीं #हिंदू_हिंदुस्तान #जिहाद_और_जिहादी_का_बहिष्कार #सपोर्ट_लोकल,আমরা একটি বিচিত্র সমাজে বাস করি যেখানে বিভিন্ন বিশ্বাসের লোক রয়েছে। আপনার হ্যাশট্যাগগুলি ধর্মগুলির মধ্যে বিদ্বেষ ছড়িয়ে দেবে।
counterspeech,<user> <user> #सपोर्ट_कंगना #बॉयकॉट_बॉलीवुड_इंडस्ट्री  #Terrorism_In_Madarsa #इस्लामिक_आतंकवाद #कांग्रेस_हटाओ_देश_बचाओ #मेरे_मन्दिर_मुझे_वापस_दो #बुर्का_बन_करो #boycot_big_boss #जागो_हिन्दू_जागो #बेटियो_को_दुर्गा_बनाओ_नचनिया_रंडी_नहीं #हिंदू_हिंदुस्तान #जिहाद_और_जिहादी_का_बहिष्कार #सपोर्ट_लोकल,প্রমাণ ছাড়াই একটি হ্যাশট্যাগ তৈরি করা দেখায় যে কোনও সম্প্রদায়কে অপমান করার জন্য আপনি কতটা পৃষ্ঠপোষক এবং মরিয়া।
counterspeech,"<user> কোনও মুসলিম যখন কোনও হিন্দু মহিলা। বা যখন তিনি কোনও খ্রিস্টান মতামতকে বিয়ে করতেন, #হিন্ডাস_সামাজ তাকে বেশ্যা বলতেন এবং মহিলার প্রতি শ্রদ্ধা রাখতেন, তবে তিনি যদি #PARO_KI এর মতো হন তবে তাকে প্রতিশোধ নেওয়া হয়নি।",কোনও মহিলার পক্ষে এই জাতীয় আপত্তিজনক শব্দ ব্যবহার করা ঠিক নয়।
counterspeech,"<user> কোনও মুসলিম যখন কোনও হিন্দু মহিলা। বা যখন তিনি কোনও খ্রিস্টান মতামতকে বিয়ে করতেন, #হিন্ডাস_সামাজ তাকে বেশ্যা বলতেন এবং মহিলার প্রতি শ্রদ্ধা রাখতেন, তবে তিনি যদি #PARO_KI এর মতো হন তবে তাকে প্রতিশোধ নেওয়া হয়নি।",আমাদের বিয়ে করার সময় মানুষের ধর্ম নয় এমন চরিত্রটি দেখা উচিত।
counterspeech,"<user> কোনও মুসলিম যখন কোনও হিন্দু মহিলা। বা যখন তিনি কোনও খ্রিস্টান মতামতকে বিয়ে করতেন, #হিন্ডাস_সামাজ তাকে বেশ্যা বলতেন এবং মহিলার প্রতি শ্রদ্ধা রাখতেন, তবে তিনি যদি #PARO_KI এর মতো হন তবে তাকে প্রতিশোধ নেওয়া হয়নি।",প্রত্যেক ব্যক্তির যে কোনও ধর্ম নির্বিশেষে যে কোনও ধর্মকে বিয়ে করার অধিকার থাকা উচিত।
counterspeech,"<user> কোনও মুসলিম যখন কোনও হিন্দু মহিলা। বা যখন তিনি কোনও খ্রিস্টান মতামতকে বিয়ে করতেন, #হিন্ডাস_সামাজ তাকে বেশ্যা বলতেন এবং মহিলার প্রতি শ্রদ্ধা রাখতেন, তবে তিনি যদি #PARO_KI এর মতো হন তবে তাকে প্রতিশোধ নেওয়া হয়নি।",আপনার টুইটগুলিতে আপনার বুদ্ধিমান এবং ভাল হ্যাশ ট্যাগ ব্যবহার করা উচিত।
counterspeech,"<user> <user> যখন আমরা হিন্দু ধর্মের বিরুদ্ধে কথা বলেছি, আমাকে বলুন যে আপনি ভোসারীর পতিতাটিকে গালি দিচ্ছেন","আমি আপনার ক্রোধ বুঝতে পারি, তবে কারও কাছে এ জাতীয় গালিগালাজ বলা ঠিক নয়।"
counterspeech,"<user> <user> যখন আমরা হিন্দু ধর্মের বিরুদ্ধে কথা বলেছি, আমাকে বলুন যে আপনি ভোসারীর পতিতাটিকে গালি দিচ্ছেন",আমরা আপত্তিজনক শব্দ ব্যবহার না করে কারও বক্তব্য বিরোধিতা করতে পারি।
counterspeech,"<user> <user> যা একজন হিন্দু, যার মা বোনরা রেন্ডিকে ডাকছিল, খালিস্তানি জুগ্রাজ সিংহ একজন হিন্দু","একটি ধর্মের মাধ্যমে, একই ধর্মের লোকদের কাছে এতটা অনুপযুক্ত কথা বলা একটি পুগিলিয়ন।"
counterspeech,"<user> <user> যা একজন হিন্দু, যার মা বোনরা রেন্ডিকে ডাকছিল, খালিস্তানি জুগ্রাজ সিংহ একজন হিন্দু",বারবার মা বোনদের নির্যাতন করা হয়েছে Most বেশিরভাগ পুরুষদের নিজের উন্নতি করা দরকার এবং তাদের এতে আগ্রহ রয়েছে।
counterspeech,এবং আমি আপনাকে বলি কেন আমি হুওয়া .. আমি প্রচুর স্রোত দিয়েছিলাম .. প্রিয়াঙ্কা চোপড়া .. তিনি আমেরিকান সিরিজে হিন্দু ধর্মের সমালোচনা করছিলেন .. ইউআরএল>,এই জাতীয় আপত্তিজনক কথা বলতে যে কোনও মহিলার সম্পর্কে অজানা।
counterspeech,এবং আমি আপনাকে বলি কেন আমি হুওয়া .. আমি প্রচুর স্রোত দিয়েছিলাম .. প্রিয়াঙ্কা চোপড়া .. তিনি আমেরিকান সিরিজে হিন্দু ধর্মের সমালোচনা করছিলেন .. ইউআরএল>,একজন শিল্পীর কাজ তার কাজের প্রতি মন্দ দ্বারা বিরোধিতা করবে এবং তাকে আপত্তিজনক না বলে।
counterspeech,এবং আমি আপনাকে বলি কেন আমি হুওয়া .. আমি প্রচুর স্রোত দিয়েছিলাম .. প্রিয়াঙ্কা চোপড়া .. তিনি আমেরিকান সিরিজে হিন্দু ধর্মের সমালোচনা করছিলেন .. ইউআরএল>,"আপনি ধরে নিচ্ছেন যে আপনি এটি দিয়ে আপনার অ্যাকাউন্টটি অপব্যবহার করেছেন। অতএব, আপনার আপনার আচরণ পরিবর্তন করা উচিত এবং সামাজিক প্ল্যাটফর্মে উত্তেজনা প্রচার করা উচিত নয়।"
counterspeech,এবং আমি আপনাকে বলি কেন আমি হুওয়া .. আমি প্রচুর স্রোত দিয়েছিলাম .. প্রিয়াঙ্কা চোপড়া .. তিনি আমেরিকান সিরিজে হিন্দু ধর্মের সমালোচনা করছিলেন .. ইউআরএল>,যদি কেউ কারও সমালোচনা করে তবে এর অর্থ এই নয় যে আপনি অপব্যবহার করেন। অপমান না করে আপনার পরামর্শ দেওয়া ভাল।
counterspeech,"মমতা রেন্ডির বাংলায় একটি সরকার আছে! সমস্ত দেশ তার ক্রোধে পরিণত হয়েছে! মমতা রেন্ডি বাংলায় আসামের প্রতিশোধ নিচ্ছেন! হিন্দুরা বিজেপি শাসিত রাষ্ট্রগুলিতে বাংলার প্রতিশোধ নেয়! অন্য কোন উপায় নেই! অন্যথায়, হিন্দুদের চোখের সামনে তাদের সম্মানের নিলাম দেখতে হবে! <রোপ>",অন্য শ্রেণিতে অবস্থিত লোকদের কারও ভুল কাজের শাস্তি দেওয়া অন্যায়। এটি আরও খারাপ হবে এবং চাপ বাড়িয়ে তুলবে।
counterspeech,"মমতা রেন্ডির বাংলায় একটি সরকার আছে! সমস্ত দেশ তার ক্রোধে পরিণত হয়েছে! মমতা রেন্ডি বাংলায় আসামের প্রতিশোধ নিচ্ছেন! হিন্দুরা বিজেপি শাসিত রাষ্ট্রগুলিতে বাংলার প্রতিশোধ নেয়! অন্য কোন উপায় নেই! অন্যথায়, হিন্দুদের চোখের সামনে তাদের সম্মানের নিলাম দেখতে হবে! <রোপ>",আমি আপনার সাথে একমত যে মমতার সরকার অন্যায় ক্রিয়াকলাপ প্রচার করেছে তবে আপনার পরামর্শটিও অন্যায়।
counterspeech,"মমতা রেন্ডির বাংলায় একটি সরকার আছে! সমস্ত দেশ তার ক্রোধে পরিণত হয়েছে! মমতা রেন্ডি বাংলায় আসামের প্রতিশোধ নিচ্ছেন! হিন্দুরা বিজেপি শাসিত রাষ্ট্রগুলিতে বাংলার প্রতিশোধ নেয়! অন্য কোন উপায় নেই! অন্যথায়, হিন্দুদের চোখের সামনে তাদের সম্মানের নিলাম দেখতে হবে! <রোপ>","আপনি যদি বিজেপি শাসিত রাজ্যে প্রতিশোধ নেওয়ার চেষ্টা করছেন, আপনি কি মামাতা ব্যানার্জি থেকে আলাদা? আমি আশা করি আপনি কোনও সিদ্ধান্তে পৌঁছানোর আগে আপনি আপনার তথ্যগুলি পরীক্ষা করে এবং যাচাই করবেন এবং দয়া করে আপনার ভাষার যত্ন নিন।"
counterspeech,"মমতা রেন্ডির বাংলায় একটি সরকার আছে! সমস্ত দেশ তার ক্রোধে পরিণত হয়েছে! মমতা রেন্ডি বাংলায় আসামের প্রতিশোধ নিচ্ছেন! হিন্দুরা বিজেপি শাসিত রাষ্ট্রগুলিতে বাংলার প্রতিশোধ নেয়! অন্য কোন উপায় নেই! অন্যথায়, হিন্দুদের চোখের সামনে তাদের সম্মানের নিলাম দেখতে হবে! <রোপ>",আমি নিশ্চিত যে এই রাজ্যে বসবাসরত বেশিরভাগ লোকেরা আপনার মতামতের সাথে একমত নয়। আপনি বাংলায় না থাকলে বাংলা সম্পর্কে স্থল বাস্তবতা সম্পর্কে সত্যই মন্তব্য করতে পারবেন না। আমি আপনাকে অনুরোধ করছি যে এই জাতীয় কঠোর অভিযোগ করা এড়াতে এবং সাম্প্রদায়িক বিদ্বেষ ছড়িয়ে দেওয়া বন্ধ করুন।
counterspeech,"মুসলমানরা, জামায়াত, মসজিদ, পাকিস্তান তাদের ছাড়া, তাদের ছাড়া খবরটি চালান, যদি আপনার অবস্থা পুরানো পতিতার চেয়ে খারাপ না হয়, তবে বলুন যে আপনার অবস্থা আরও খারাপ না হলে বলে","খবরটি সঠিক সময়ে সম্প্রচারিত সঠিক সংবাদ দ্বারা সম্পন্ন হয়েছে, আপনার চিন্তাভাবনা পরিবর্তন করুন এবং অনুপযুক্ত শব্দটি বন্ধ করুন।"
