ids,annotatorId,texts,counterSpeechs,counterSpeechTypes,textTypes,hatespeech_trans,counterspeech_trans
202,A1HFJSETMNC7BF,তোমার দেখতে ছেলেদের মতো। যদি তোমার দেখতে মেয়েদের মতো হতো। তাহলে তুমি অবশ্যই বেশ্যা হতে। 😂,মানুষ কে সম্মান করতে শিখুন। তবেই নিজে সম্মানিত হবেন।,['Warning-of-Consequences'],Offensive,आप लड़कों की तरह दिखते हैं। अगर आप देखने के लिए लड़कियों की तरह थे। तब आपको एक वेश्या होना चाहिए। 😂,लोगों का सम्मान करना सीखें। तभी आपको सम्मानित किया जाएगा।
202,A1HFJSETMNC7BF,তোমার দেখতে ছেলেদের মতো। যদি তোমার দেখতে মেয়েদের মতো হতো। তাহলে তুমি অবশ্যই বেশ্যা হতে। 😂,অশ্লীল ভাষায় কাউকে অপমান করা তাদের অপমান নয়। এমন অশ্লীল কথা বলতে থাকলে আপনি সম্মান হারাবেন।,['Warning-of-Consequences'],Offensive,आप लड़कों की तरह दिखते हैं। अगर आप देखने के लिए लड़कियों की तरह थे। तब आपको एक वेश्या होना चाहिए। 😂,अश्लील भाषा में किसी का अपमान करना उनका अपमान नहीं है। यदि आप कहते हैं कि ऐसे अश्लील शब्द हैं तो आप सम्मान खो देंगे।
203,A1HFJSETMNC7BF,@taslimanasreen  তোর মেয়েরে আর তোরে এক বিছানায় ফালাইয়া চুদি...খানকি মাগি,মহিলাদের সম্মান করতে শিখুন। তবেই নিজে সম্মানিত হবেন।,['Empathy'],Offensive,@taslimanasreen अपनी बेटी और आपके पास एक बिस्तर में एक बिस्तर है ... खंकी मैगी,महिलाओं का सम्मान करना सीखें। तभी आपको सम्मानित किया जाएगा।
203,A1HFJSETMNC7BF,@taslimanasreen  তোর মেয়েরে আর তোরে এক বিছানায় ফালাইয়া চুদি...খানকি মাগি,"অন্যকে  গালাগালি দিয়ে অপমানজনক কথা বলার মধ্যে কোনো বীরত্ব নেই, বরং সম্মান দিয়ে কথা বললে আপনারও সম্মান বাড়বে।",['Empathy'],Offensive,@taslimanasreen अपनी बेटी और आपके पास एक बिस्तर में एक बिस्तर है ... खंकी मैगी,"दूसरों को अपमानजनक शब्द कहने में कोई वीरता नहीं है, लेकिन सम्मान के साथ बात करने से आपका सम्मान बढ़ेगा।"
204,A1HFJSETMNC7BF,"   @taslimanasreen  বেশ্যা, পতিতারা এমনই হয়।",অভব্য ভাষা ব্যবহার বন্ধ করুন। মহিলাদের সম্মান করতে শিখুন।,['Shaming'],Offensive,"   @taslimanasreen slut, वेश्याएं ऐसी ही हैं।",अनजाने भाषा का उपयोग करना बंद करें। महिलाओं का सम्मान करना सीखें।
204,A1HFJSETMNC7BF,"   @taslimanasreen  বেশ্যা, পতিতারা এমনই হয়।",আপনি কি করে জানলেন? আপনার জাতায়াত আছে বুঝি?,['Humour'],Offensive,"   @taslimanasreen slut, वेश्याएं ऐसी ही हैं।",आप कैसे जानते हो? क्या आप समझते हैं कि आपके पास जाति है?
207,A1HFJSETMNC7BF,শালী বাবাচুদি খানকি একটা,আপনি গালিগালির প্রদর্শন করছেন বলে মনে হয়। চারটে শব্দ। তার মধ্যে তিনটি গালাগালি।,['Shaming'],Offensive,शाली बाबाचुड़ी खंकी एक है,आप दुरुपयोग प्रदर्शित कर रहे हैं। चार शब्द। उनमें से तीन अपमानजनक हैं।
207,A1HFJSETMNC7BF,শালী বাবাচুদি খানকি একটা,আপনি যদি নারীদের ঘৃণা করতে থাকেন তাহলে সমাজ আপনাকে অবহেলা করতে শুরু করবে।,['Warning-of-Consequences'],Offensive,शाली बाबाचुड़ी खंकी एक है,"यदि आप महिलाओं से नफरत करते हैं, तो समाज आपकी उपेक्षा करना शुरू कर देगा।"
208,A9J41F0FTR2R7,আমরা চোদনে expart ! আমি কেমন চুদি তোর মাকে জিঞ্জাসা কর রে বেতো খানকি 😂,আপনি কিসে এক্সপার্ট কেউ জানতে চাইনি। অভদ্র মন্তব্য বন্ধ করুন।,['Shaming'],Hate,"हम निर्यात कर रहे हैं! मैं तुम्हारी माँ को कैसे चोदता हूँ, रे बेटो खांकी",आप किसी को नहीं जानते थे कि कौन सा विशेषज्ञ। असभ्य टिप्पणियों को रोकें।
208,A9J41F0FTR2R7,আমরা চোদনে expart ! আমি কেমন চুদি তোর মাকে জিঞ্জাসা কর রে বেতো খানকি 😂,আপনি উক্ত ব্যক্তি কে তার মা নিয়ে কুরুচিকর শব্দ ব্যবহার করছেন কেউ এই অপমান যদি আপনাকে নিয়ে করতো আপনার কি ভালো লাগতো? একটু ভেবে দেখবেন তাহলে আর এইধরণের মন্তব্য করতে পারবেন না আশা করি।,['Shaming'],Hate,"हम निर्यात कर रहे हैं! मैं तुम्हारी माँ को कैसे चोदता हूँ, रे बेटो खांकी","यदि आप अपनी माँ के साथ व्यक्ति के बारे में बदसूरत शब्द का उपयोग कर रहे हैं, अगर कोई भी आपका अपमान करता था, तो क्या आप इसे पसंद करेंगे? यदि आप थोड़ा सोचते हैं, तो आप अब टिप्पणी नहीं कर पाएंगे।"
