prefix,input_text,target_text
counterspeech,आप लड़कों की तरह दिखते हैं। अगर आप देखने के लिए लड़कियों की तरह थे। तब आपको एक वेश्या होना चाहिए। 😂,लोगों का सम्मान करना सीखें। तभी आपको सम्मानित किया जाएगा।
counterspeech,आप लड़कों की तरह दिखते हैं। अगर आप देखने के लिए लड़कियों की तरह थे। तब आपको एक वेश्या होना चाहिए। 😂,अश्लील भाषा में किसी का अपमान करना उनका अपमान नहीं है। यदि आप कहते हैं कि ऐसे अश्लील शब्द हैं तो आप सम्मान खो देंगे।
counterspeech,@taslimanasreen अपनी बेटी और आपके पास एक बिस्तर में एक बिस्तर है ... खंकी मैगी,महिलाओं का सम्मान करना सीखें। तभी आपको सम्मानित किया जाएगा।
counterspeech,@taslimanasreen अपनी बेटी और आपके पास एक बिस्तर में एक बिस्तर है ... खंकी मैगी,"दूसरों को अपमानजनक शब्द कहने में कोई वीरता नहीं है, लेकिन सम्मान के साथ बात करने से आपका सम्मान बढ़ेगा।"
counterspeech,"   @taslimanasreen slut, वेश्याएं ऐसी ही हैं।",अनजाने भाषा का उपयोग करना बंद करें। महिलाओं का सम्मान करना सीखें।
counterspeech,"   @taslimanasreen slut, वेश्याएं ऐसी ही हैं।",आप कैसे जानते हो? क्या आप समझते हैं कि आपके पास जाति है?
counterspeech,शाली बाबाचुड़ी खंकी एक है,आप दुरुपयोग प्रदर्शित कर रहे हैं। चार शब्द। उनमें से तीन अपमानजनक हैं।
counterspeech,शाली बाबाचुड़ी खंकी एक है,"यदि आप महिलाओं से नफरत करते हैं, तो समाज आपकी उपेक्षा करना शुरू कर देगा।"
counterspeech,"हम निर्यात कर रहे हैं! मैं तुम्हारी माँ को कैसे चोदता हूँ, रे बेटो खांकी",आप किसी को नहीं जानते थे कि कौन सा विशेषज्ञ। असभ्य टिप्पणियों को रोकें।
counterspeech,"हम निर्यात कर रहे हैं! मैं तुम्हारी माँ को कैसे चोदता हूँ, रे बेटो खांकी","यदि आप अपनी माँ के साथ व्यक्ति के बारे में बदसूरत शब्द का उपयोग कर रहे हैं, अगर कोई भी आपका अपमान करता था, तो क्या आप इसे पसंद करेंगे? यदि आप थोड़ा सोचते हैं, तो आप अब टिप्पणी नहीं कर पाएंगे।"
counterspeech,"कनकी मैगी पुला, आँखें आँखें अंदर रख रही हैं ??? या आप अश्लील देखने के लिए अपनी आँखें बर्बाद करते हैं ???","अपमानजनक होने के बिना, शब्द का अर्थ है, ""क्या आप आँखें नहीं देख सकते?"" बस इतना ही तो गंदी।"
counterspeech,"कनकी मैगी पुला, आँखें आँखें अंदर रख रही हैं ??? या आप अश्लील देखने के लिए अपनी आँखें बर्बाद करते हैं ???","क्या आप यह टिप्पणी करके जीवन में कुछ भी हासिल कर सकते हैं? बल्कि, इस तरह के पदों के लिए विवाद में वृद्धि जारी रहेगी।"
